label    A
0    하루가 또 가네요
0    위로해 드립니다
0    여행은 언제나 좋죠
0    여행은 언제나 좋죠
0    눈살이 찌푸려지죠
0    다시 새로 사는 게 마음 편해요
0    다시 새로 사는 게 마음 편해요
0    잘 모르고 있을 수도 있어요
0    시간을 정하고 해보세요
0    시간을 정하고 해보세요
0    자랑하는 자리니까요
0    그 사람도 그럴 거예요
0    그 사람도 그럴 거예요
0    혼자를 즐기세요
0    돈은 다시 들어올 거예요
0    땀을 식혀주세요
0    어서 잊고 새출발 하세요
0    빨리 집에 돌아가서 끄고 나오세요
0    빨리 집에 돌아가서 끄고 나오세요
0    다음 달에는 더 절약해봐요
0    따뜻하게 사세요!
0    다음 달에는 더 절약해봐요
0    가장 확실한 시간은 오늘이에요 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요
0    온 가족이 모두 마음에 드는 곳으로 가보세요
0    온 가족이 모두 마음에 드는 곳으로 가보세요
0    온 가족이 모두 마음에 드는 곳으로 가보세요
0    저를 만들어 준 사람을 부모님저랑 이야기해 주는 사람을 친구로 생각하고 있어요
0    저를 만들어 준 사람을 부모님저랑 이야기해 주는 사람을 친구로 생각하고 있어요
0    더 가까워질 기회가 되겠네요
0    저도요
0    다들 바빠서 이야기할 시간이 부족했나봐요
0    다들 바빠서 이야기할 시간이 부족했나봐요
0    온 가족이 모두 마음에 드는 곳으로 가보세요
0    좋은 생각이에요
0    더 가까워질 기회가 되겠네요
0    저를 만들어 준 사람을 부모님저랑 이야기해 주는 사람을 친구로 생각하고 있어요
0    좋은 생각이에요
0    정말 후회할 습관이에요
0    무모한 결정을 내리지 마세요
0    선생님이나 기관에 연락해보세요
0    떨리는 감정은 그 자체로 소중해요
0    득템했길 바라요
0    휴식도 필요하죠
0    단짠으로 두 개 사는게 진리죠
0    단짠으로 두 개 사는게 진리죠
0    맛있게 드세요
0    저도 싫어요
0    가세요
0    가세요
0    맛있게 드세요
0    맛있게 드세요
0    병원가세요
0    이럴 때 잘 쉬는 게 중요해요
0    이럴 때 잘 쉬는 게 중요해요
0    이럴 때 잘 쉬는 게 중요해요
0    따뜻하게 관리하세요
0    병원가세요
0    병원가세요
0    저도 듣고 싶네요
0    자신을 더 사랑해주세요
0    그건 습관이에요
0    그건 습관이에요
0    콕 집어서 물어보세요
0    좋은 생각만 하세요
0    마음이 아픈가요
0    갑작스러웠나봐요
0    관계의 변화가 왔나봅니다
0    처음 3초가 중요해요 당신의 매력을 어필해보세요
0    책임질 수 있을 때 키워 보세요
0    먼저 생활패턴을 살펴 보세요
0    먼저 생활패턴을 살펴 보세요
0    책임질 수 있을 때 키워 보세요
0    아름다운 곳이죠
0    안 될 것도 없죠
0    혼자도 좋아요
0    연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요
0    즐거운 시간 보내고 오세요!
0    질질 끌지 마세요
0    말해보세요
0    함께하면 서로를 더 많이 알게 될 거예요
0    개시해보세요
0    개시해보세요
0    곧 방학이예요
0    방학이 참 짧죠
0    벗어나는 게 좋겠네요
0    벗어나는 게 좋겠네요
0    세수하고 오세요
0    그게 제일 중요한 건데요
0    그게 제일 중요한 건데요
0    다음부터는 더 많이 아세요
0    갑작스러웠나봐요
0    공적인 일부터 하세요
0    공적인 일부터 하세요
0    낮잠을 잠깐 자도 괜찮아요
0    저도 좋아해주세요
0    친구들이 보고싶었나봐요
